                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7644,                 4.9442,                 3.7545,                0.25787,                0.24551,                 0.1605,                 0.0518,                 2.3868,                 2.8238,                 2.6049,              0.0033306,              0.0033306,              0.0033306
                      2,                 2.4193,                 2.4075,                 2.3019,                0.48781,                0.37958,                0.37886,                0.14252,                 2.1081,                  2.046,                 2.0947,              0.0065979,              0.0065979,              0.0065979
                      3,                 2.1593,                 1.9941,                 1.9864,                0.61575,                0.49306,                0.56691,                0.22568,                 1.9566,                 1.7077,                  1.911,              0.0097993,              0.0097993,              0.0097993
                      4,                  2.059,                 1.7662,                 1.8758,                0.69777,                0.55104,                0.64987,                0.27505,                  1.902,                 1.5304,                  1.888,               0.009703,               0.009703,               0.009703
                      5,                 1.9644,                 1.6178,                 1.8061,                0.69175,                0.60208,                0.69005,                0.29999,                 1.8229,                  1.435,                 1.8033,               0.009604,               0.009604,               0.009604
                      6,                 1.9116,                 1.5279,                 1.7671,                0.81529,                0.70237,                0.80111,                0.34474,                 1.8422,                 1.2424,                 1.8136,               0.009505,               0.009505,               0.009505
                      7,                 1.8775,                 1.4386,                  1.741,                0.83431,                0.73185,                0.82521,                0.37682,                 1.7544,                 1.1925,                 1.7434,               0.009406,               0.009406,               0.009406
                      8,                  1.843,                 1.3727,                 1.7047,                0.84338,                0.76851,                0.83921,                0.37956,                 1.7484,                  1.193,                 1.7346,               0.009307,               0.009307,               0.009307
                      9,                 1.8158,                 1.3109,                 1.6803,                0.85272,                0.76743,                0.84758,                0.39423,                 1.7177,                 1.1507,                 1.7122,               0.009208,               0.009208,               0.009208
                     10,                 1.7856,                 1.2933,                 1.6725,                0.87299,                0.78074,                0.85527,                0.39091,                 1.7144,                 1.1649,                 1.7186,               0.009109,               0.009109,               0.009109
                     11,                  1.765,                 1.2416,                 1.6462,                0.85947,                0.82099,                0.86667,                0.40455,                 1.7027,                 1.1062,                 1.7102,                0.00901,                0.00901,                0.00901
                     12,                 1.7451,                 1.2006,                 1.6341,                0.89302,                0.82211,                0.88718,                0.41631,                 1.6933,                  1.066,                 1.6966,               0.008911,               0.008911,               0.008911
                     13,                 1.7293,                  1.166,                 1.6136,                0.91326,                0.84364,                0.91281,                 0.4395,                 1.6747,                0.99761,                 1.6748,               0.008812,               0.008812,               0.008812
                     14,                 1.7218,                 1.1355,                 1.6167,                0.90425,                0.86556,                0.91283,                0.44629,                 1.6687,                0.97264,                 1.6818,               0.008713,               0.008713,               0.008713
                     15,                 1.6977,                  1.091,                 1.5891,                0.93091,                 0.8573,                0.92198,                0.46103,                 1.6497,                0.93785,                 1.6528,               0.008614,               0.008614,               0.008614
                     16,                 1.6795,                 1.0783,                 1.5871,                0.91711,                0.86161,                0.91472,                0.46227,                 1.6414,                0.93419,                 1.6489,               0.008515,               0.008515,               0.008515
                     17,                 1.6633,                 1.0468,                  1.567,                0.92676,                0.88235,                0.92746,                0.47067,                 1.6336,                0.89634,                 1.6437,               0.008416,               0.008416,               0.008416
                     18,                 1.6595,                 1.0206,                 1.5671,                0.93379,                 0.8771,                 0.9333,                0.47589,                 1.6185,                0.88148,                 1.6381,               0.008317,               0.008317,               0.008317
                     19,                   1.64,                0.99203,                 1.5534,                0.92169,                0.88422,                0.93768,                0.48871,                 1.6133,                0.84665,                 1.6261,               0.008218,               0.008218,               0.008218
                     20,                 1.6161,                0.97213,                 1.5315,                0.93832,                0.89468,                  0.942,                0.49239,                 1.6219,                0.80978,                 1.6205,               0.008119,               0.008119,               0.008119
                     21,                 1.6065,                0.93333,                 1.5233,                0.93109,                0.90332,                0.94112,                0.49062,                 1.6091,                0.79564,                 1.6237,                0.00802,                0.00802,                0.00802
                     22,                 1.6006,                0.93742,                 1.5356,                0.93503,                0.91086,                0.94543,                0.50099,                  1.596,                0.77388,                 1.6094,               0.007921,               0.007921,               0.007921
