                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7803,                 3.1908,                 2.7172,                0.30693,                0.34017,                 0.2566,                0.09413,                 2.1803,                 2.1775,                 2.1439,             0.00066603,             0.00066603,             0.00066603
                      2,                 2.2584,                 2.1844,                 2.0697,                0.47493,                0.45945,                0.43982,                0.17984,                 1.9893,                 1.8564,                 2.0043,              0.0013063,              0.0013063,              0.0013063
                      3,                 2.1184,                 1.9878,                  1.951,                0.56646,                0.47113,                0.50481,                0.20128,                 1.9483,                 1.7559,                 1.9352,              0.0019202,              0.0019202,              0.0019202
                      4,                 2.0394,                 1.8157,                 1.8907,                0.55453,                 0.5272,                 0.5334,                0.20915,                 1.8899,                 1.6386,                 1.8709,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.9832,                 1.7129,                 1.8287,                0.76368,                0.60628,                0.70045,                0.29399,                 1.8637,                 1.4922,                 1.8451,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.9397,                 1.6242,                 1.7913,                0.70145,                0.64561,                0.72047,                0.31017,                 1.7947,                 1.4225,                 1.7886,               0.001802,               0.001802,               0.001802
                      7,                 1.9049,                 1.5504,                 1.7643,                0.74338,                0.63431,                0.73026,                0.31472,                 1.7832,                 1.4141,                 1.7849,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.8721,                 1.4831,                 1.7365,                0.83015,                0.71757,                0.79924,                0.35257,                  1.789,                 1.3055,                  1.779,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.8643,                 1.4472,                 1.7305,                0.85635,                0.73582,                0.83898,                0.37347,                 1.7665,                 1.2234,                 1.7571,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.8327,                 1.4108,                 1.6927,                0.82292,                0.73556,                0.82733,                0.37758,                 1.7227,                 1.2224,                 1.7232,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.8196,                  1.358,                 1.6814,                0.87032,                0.72448,                0.82896,                0.37801,                 1.7301,                 1.2377,                 1.7238,               0.001604,               0.001604,               0.001604
                     12,                 1.7917,                  1.339,                 1.6689,                0.83279,                0.75439,                0.82979,                 0.3816,                 1.7091,                 1.2144,                 1.6878,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.7773,                 1.2968,                 1.6618,                0.89393,                0.80043,                0.87538,                0.41203,                 1.6995,                 1.1322,                 1.7055,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.7661,                 1.2574,                 1.6496,                 0.8784,                0.81305,                0.88461,                0.41185,                 1.6819,                 1.1322,                 1.6878,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.7446,                 1.2119,                 1.6368,                0.88425,                0.80546,                0.88711,                0.41711,                 1.6479,                 1.1136,                 1.6722,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.737,                 1.2081,                 1.6212,                0.90624,                0.81172,                0.89248,                0.41976,                 1.6841,                 1.0904,                 1.6775,               0.001406,               0.001406,               0.001406
                     17,                 1.7169,                 1.1834,                 1.6083,                0.90201,                0.80879,                0.89864,                0.43812,                 1.6571,                 1.0449,                 1.6638,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.7061,                 1.1572,                 1.5988,                0.91393,                0.85063,                0.91866,                0.45156,                 1.6406,                  1.015,                  1.655,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.6927,                 1.1406,                 1.5972,                0.91064,                0.85704,                0.92115,                0.45776,                 1.6392,                0.97204,                   1.65,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.6828,                 1.1229,                 1.5886,                0.93829,                0.85356,                0.92946,                0.46698,                 1.6383,                0.95569,                 1.6435,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.6554,                 1.0865,                 1.5568,                0.93986,                0.88326,                0.94197,                0.47631,                 1.6145,                0.93596,                 1.6307,               0.001208,               0.001208,               0.001208
                     22,                 1.6565,                 1.0639,                 1.5661,                0.94552,                0.86946,                0.93675,                0.47452,                 1.6184,                0.91623,                 1.6364,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.6311,                 1.0315,                 1.5551,                0.93244,                0.88356,                0.94243,                0.48732,                 1.6039,                0.89001,                 1.6268,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.6281,                 1.0172,                 1.5557,                0.94484,                0.88536,                0.94759,                0.49122,                 1.6117,                0.84288,                 1.6353,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.5973,                0.98479,                  1.529,                0.94674,                0.89247,                0.95336,                0.49747,                 1.5981,                0.82384,                 1.6183,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.5879,                0.95968,                 1.5281,                0.93828,                0.89049,                0.95264,                0.49759,                 1.5849,                0.84717,                 1.6116,                0.00101,                0.00101,                0.00101
                     27,                 1.5765,                0.95174,                 1.5189,                0.94423,                0.89973,                0.95165,                0.49883,                 1.5932,                0.81447,                 1.6065,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.5573,                 0.9116,                 1.5075,                0.96391,                 0.9051,                0.96476,                0.51382,                 1.5825,                0.77432,                  1.605,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.5521,                0.89249,                 1.5037,                0.94777,                 0.9187,                0.95688,                0.51402,                 1.5691,                0.77514,                 1.5971,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.5331,                0.88242,                 1.4908,                0.95181,                0.91728,                0.96155,                0.51975,                 1.5422,                0.76154,                 1.5735,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.5123,                0.85416,                 1.4768,                0.95075,                0.92085,                0.96215,                0.52516,                   1.54,                0.72759,                 1.5791,               0.000812,               0.000812,               0.000812
                     32,                 1.4998,                0.82337,                 1.4756,                 0.9459,                0.92916,                0.96453,                0.53075,                 1.5286,                0.70515,                 1.5705,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.4831,                0.79801,                 1.4578,                0.95379,                0.92301,                0.97062,                0.53762,                 1.5252,                0.70642,                 1.5701,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.4597,                0.78199,                 1.4521,                0.96883,                0.91883,                0.97056,                0.54113,                  1.512,                 0.6866,                 1.5633,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.4465,                 0.7595,                 1.4384,                0.96506,                0.92458,                0.97228,                0.54586,                 1.4967,                0.66482,                 1.5522,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4275,                0.74559,                 1.4333,                0.96495,                0.93431,                0.97617,                  0.553,                 1.4899,                0.64557,                  1.552,               0.000614,               0.000614,               0.000614
                     37,                 1.4086,                0.72609,                 1.4252,                0.95833,                0.95261,                0.97767,                0.55451,                 1.4694,                0.64539,                 1.5405,              0.0005744,              0.0005744,              0.0005744
                     38,                  1.391,                 0.7094,                 1.4169,                0.95844,                0.95529,                0.97609,                0.56281,                 1.4521,                0.61682,                 1.5285,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.3604,                0.68642,                 1.3925,                0.96181,                0.95146,                0.97979,                0.56309,                 1.4502,                0.60592,                 1.5333,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.3463,                0.67049,                 1.3837,                0.96915,                0.95732,                0.97958,                0.57437,                 1.4374,                0.59531,                  1.526,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.3114,                 0.5752,                 1.4435,                0.96694,                0.95356,                0.98114,                0.57898,                  1.422,                0.58711,                 1.5104,               0.000416,               0.000416,               0.000416
                     42,                 1.2726,                0.55344,                 1.4114,                0.97368,                0.95565,                0.98187,                0.58664,                 1.3966,                0.57585,                 1.5023,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.2426,                0.53541,                 1.3907,                0.96863,                0.96318,                0.98238,                0.59482,                 1.3825,                0.56178,                 1.4972,              0.0003368,              0.0003368,              0.0003368
